m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Любов,Дорошенко,lyubov.doroshenko@student.org,1977,7,6,ICV-97,45.21,38(098)76-49-563
Любов,Дорошенко,lyubov.doroshenko1@student.org,1981,8,13,YZE-36,69.95,38(067)85-41-430
Любов,Дорошенко,lyubov.doroshenko2@student.org,1965,6,26,KYL-52,31.9,38(098)84-23-167
Любов,Дорошенко,lyubov.doroshenko3@student.org,2000,2,5,XEE-41,68.78,38(068)18-70-158
Любов,Дорошенко,lyubov.doroshenko4@student.org,1967,4,16,CSG-45,23.85,38(050)93-75-643
Любов,Дорошенко,lyubov.doroshenko5@student.org,1974,8,9,SHC-32,25.76,38(067)96-22-609
Любов,Дорошенко,lyubov.doroshenko6@student.org,2009,7,5,HDO-12,94.41,38(095)92-96-697
Любов,Дорошенко,lyubov.doroshenko7@student.org,1975,9,26,NTI-68,42.5,38(096)69-14-175
Любов,Дорошенко,lyubov.doroshenko8@student.org,1954,4,26,JGK-71,40.41,38(073)92-58-153
Любов,Дорошенко,lyubov.doroshenko9@student.org,2006,5,15,ZZL-26,10.31,38(066)94-30-259
Любов,Дорошенко,lyubov.doroshenko10@student.org,1977,1,2,XTS-31,49.12,38(099)98-64-817
Любов,Дорошенко,lyubov.doroshenko11@student.org,2001,6,29,HED-71,53.42,38(097)98-68-965
Любов,Дорошенко,lyubov.doroshenko12@student.org,1984,11,1,NIW-62,16.79,38(096)46-86-483
Любов,Дорошенко,lyubov.doroshenko13@student.org,1992,4,12,PQP-17,52.08,38(068)97-92-928
Любов,Дорошенко,lyubov.doroshenko14@student.org,2002,8,23,GVM-62,42.7,38(098)63-87-544
Любов,Дорошенко,lyubov.doroshenko15@student.org,1961,12,10,VJG-94,85.32,38(067)55-19-849
Любов,Дорошенко,lyubov.doroshenko16@student.org,2001,11,13,IEP-22,52.06,38(068)36-97-874
Любов,Дорошенко,lyubov.doroshenko17@student.org,1981,1,13,IZP-59,70.34,38(068)63-72-148
Любов,Дорошенко,lyubov.doroshenko18@student.org,1993,2,19,FXK-50,53.09,38(063)25-56-417
