m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Лілія,Дорошенко,liliya.doroshenko6@student.org,1967,12,3,GZG-93,58.09,38(063)28-84-110
Іван,Король,ivan.korol32@student.org,1958,1,2,ODM-98,47.98,38(095)98-52-278
Вікторія,Лебедь,viktoriya.lebed27@student.org,1971,11,13,IDD-87,83.27,38(066)59-32-753
Валентина,Стельмах,valentyna.stelmakh14@student.org,1998,3,31,NYZ-50,95.51,38(098)99-77-142
Юлія,Шаповал,yuliya.shapoval6@student.org,1992,5,11,ZVE-19,69.94,38(063)57-55-856
Володимир,Гайдук,volodymyr.hayduk33@student.org,1955,10,16,SKS-73,75.45,38(050)26-82-413
Роман,Павленко,roman.pavlenko26@student.org,2008,6,29,UFI-24,0.34,38(063)86-93-399
Віталій,Рибак,vitaliy.rybak22@student.org,2007,5,30,IXH-86,48.71,38(097)76-27-464
Денис,Король,denys.korol40@student.org,1973,12,23,OID-46,32.24,38(099)50-52-355
Олександр,Руденко,oleksandr.rudenko13@student.org,1955,1,9,PYH-65,77.61,38(098)42-98-252
Роман,Ковальчук,roman.kovalchuk4@student.org,1954,10,24,MBM-91,87.64,38(050)82-30-617
Віталій,Панченко,vitaliy.panchenko3@student.org,1978,8,22,UCZ-59,85.58,38(067)59-11-469
Віктор,Савченко,viktor.savchenko25@student.org,1995,9,13,NSZ-73,88.81,38(096)21-45-400
Юрій,Михайленко,yuriy.mykhaylenko35@student.org,1999,2,25,PKA-29,64.81,38(050)60-10-327
Ігор,Цимбал,ihor.tsymbal17@student.org,1980,9,11,NYY-22,12.94,38(095)89-78-422
Станіслав,Кравченко,stanislav.kravchenko5@student.org,2004,11,25,OBT-67,59.24,38(098)72-19-396
Надія,Литвин,nadiya.lytvyn21@student.org,1958,11,14,FEV-47,98.65,38(073)73-29-348
Марія,Шевчук,mariya.shevchuk16@student.org,1992,11,16,RBN-56,58.77,38(093)91-86-871
Ганна,Макаренко,hanna.makarenko13@student.org,1954,1,28,HEM-81,59.92,38(068)94-35-267
Ганна,Гордієнко,hanna.hordiyenko8@student.org,1969,4,13,UAK-28,6.63,38(050)37-17-611
Олена,Коваль,olena.koval35@student.org,1982,6,19,HZJ-42,56.48,38(050)95-67-229
Юрій,Никоненко,yuriy.nykonenko19@student.org,1972,3,19,UXJ-81,46.11,38(095)14-82-479
Віктор,Панченко,viktor.panchenko1@student.org,1979,1,1,RQL-70,23.24,38(097)73-24-455
Павло,Марченко,pavlo.marchenko2@student.org,1978,4,12,UTC-83,53.47,38(066)44-16-279
Станіслав,Коваль,stanislav.koval33@student.org,1965,1,18,NWC-21,0.07,38(098)73-74-324
Павло,Кузьменко,pavlo.kuzmenko12@student.org,1995,12,5,HCN-72,89.25,38(093)23-38-556
Раїса,Король,rayisa.korol16@student.org,2001,4,11,TYO-56,87.96,38(073)23-85-623
Надія,Іваненко,nadiya.ivanenko34@student.org,1976,10,31,KJV-15,88.91,38(098)87-33-323
Роман,Левченко,roman.levchenko18@student.org,1950,5,28,XQP-66,64.49,38(067)44-63-276
Ігор,Омельченко,ihor.omelchenko10@student.org,2009,2,11,UEF-21,1.86,38(050)44-85-355
Алла,Панченко,alla.panchenko15@student.org,1957,10,30,OJX-10,61.17,38(063)27-76-115
Андрій,Макаренко,andriy.makarenko6@student.org,1957,6,29,OYX-91,50.05,38(068)31-34-624
Костянтин,Шевчук,kostyantyn.shevchuk47@student.org,2003,8,7,AKB-83,22.09,38(063)82-76-700
Євгенія,Стельмах,yevheniya.stelmakh4@student.org,1950,2,24,CAV-29,26.15,38(050)22-40-308
Олеся,Лисенко,olesya.lysenko9@student.org,1998,8,19,FXR-64,69.9,38(096)89-88-200
Остап,Гончаренко,ostap.honcharenko19@student.org,1977,8,13,PHW-53,83.99,38(096)86-34-654
Юлія,Романенко,yuliya.romanenko11@student.org,1994,10,9,UYK-59,27.87,38(099)59-33-612
Вікторія,Поліщук,viktoriya.polishchuk30@student.org,1980,5,3,UPB-76,77.75,38(063)35-93-604
Богдан,Коваленко,bohdan.kovalenko36@student.org,1992,9,12,VEK-46,4.59,38(093)69-43-347
Раїса,Стельмах,rayisa.stelmakh25@student.org,2007,7,25,ZJY-82,10.47,38(073)98-16-492
Лілія,Макаренко,liliya.makarenko35@student.org,1969,5,13,CIV-55,8.28,38(097)69-26-599
Григорій,Шевченко,hryhoriy.shevchenko14@student.org,1973,9,29,OCN-70,66.08,38(067)48-54-579
Тарас,Ковальчук,taras.kovalchuk37@student.org,1974,5,15,GIR-20,41.86,38(066)79-43-122
Інна,Ковальчук,inna.kovalchuk3@student.org,1967,8,21,OCA-44,72.27,38(073)89-54-856
Анна,Король,anna.korol35@student.org,1965,12,10,WXD-22,40.71,38(050)93-31-898
Інна,Король,inna.korol36@student.org,1951,9,12,UIK-78,96.71,38(068)70-41-458
Денис,Авраменко,denys.avramenko27@student.org,1955,4,8,OIX-84,76.62,38(050)37-55-942
Наталія,Лисенко,nataliya.lysenko43@student.org,1957,3,18,HYJ-24,86.35,38(095)39-99-202
Станіслав,Панченко,stanislav.panchenko3@student.org,2001,10,7,DEK-63,52.68,38(067)65-58-681
Віктор,Савченко,viktor.savchenko38@student.org,1994,1,20,LNK-17,83.98,38(063)96-34-274
Станіслав,Василенко,stanislav.vasylenko12@student.org,1956,6,17,YVZ-93,76.51,38(050)20-40-627
Ірина,Білоус,iryna.bilous35@student.org,1997,12,21,YRX-72,22.01,38(096)69-13-129
Оксана,Демченко,oksana.demchenko3@student.org,2000,4,10,LDI-22,3.46,38(095)68-17-795
Роман,Лисенко,roman.lysenko61@student.org,1959,1,8,QCK-38,20.18,38(073)55-15-917
Олена,Панченко,olena.panchenko25@student.org,2005,6,13,AJY-31,95.2,38(098)81-48-902
Максим,Шевченко,maksym.shevchenko11@student.org,1951,9,1,XTG-58,56.77,38(068)50-28-800
Юлія,Никоненко,yuliya.nykonenko17@student.org,1988,11,16,ALP-13,7.96,38(050)29-17-866
Алла,Шаповал,alla.shapoval1@student.org,1951,7,26,VZL-84,49.17,38(067)85-74-756
Анна,Литвин,anna.lytvyn28@student.org,1995,10,6,LQU-46,61.54,38(063)28-26-737
Олександр,Бойко,oleksandr.boyko39@student.org,2008,5,2,RMI-78,57.56,38(063)70-99-988
Лариса,Мельник,larysa.melnyk3@student.org,1957,9,20,ZBK-41,82.58,38(073)18-23-327
Тетяна,Гайдук,tetyana.hayduk20@student.org,1999,2,5,RVT-71,27.48,38(093)75-45-382
Роман,Панченко,roman.panchenko22@student.org,1969,10,25,NHX-85,46.08,38(063)93-85-961
Федір,Романенко,fedir.romanenko13@student.org,1959,1,22,FDW-31,70.02,38(097)73-32-757
Костянтин,Марченко,kostyantyn.marchenko9@student.org,1959,7,3,HJF-19,39.5,38(095)32-78-764
Іван,Литвин,ivan.lytvyn19@student.org,1967,12,21,MYC-51,74.44,38(098)40-40-321
Людмила,Ковальчук,lyudmyla.kovalchuk40@student.org,1996,3,31,SUQ-50,89.03,38(063)84-56-926
Дмитро,Лебедь,dmytro.lebed9@student.org,1963,8,4,TAQ-70,0.69,38(050)34-92-805
Артем,Руденко,artem.rudenko35@student.org,1963,1,7,YGQ-17,76.14,38(098)60-73-834
Оксана,Шаповал,oksana.shapoval43@student.org,1994,2,18,MRB-71,36.65,38(068)78-46-921
Іван,Макаренко,ivan.makarenko11@student.org,2003,3,23,OAV-20,72.56,38(068)64-32-194
Роман,Шевченко,roman.shevchenko19@student.org,2008,6,12,WSO-34,50.21,38(096)82-18-413
Іван,Шаповал,ivan.shapoval33@student.org,2000,6,21,UAU-76,63.25,38(066)35-88-632
Роман,Савченко,roman.savchenko22@student.org,2004,6,19,GNZ-23,17.12,38(073)30-46-170
Володимир,Гордієнко,volodymyr.hordiyenko19@student.org,1973,2,8,JSN-43,22.17,38(063)89-35-401
Василь,Захарченко,vasyl.zakharchenko32@student.org,1968,1,5,DRJ-51,53.26,38(066)30-60-990
Надія,Новік,nadiya.novik32@student.org,2005,9,9,MUE-46,13.27,38(050)47-17-837
Віталій,Марченко,vitaliy.marchenko2@student.org,1996,12,26,UUO-24,60.49,38(073)30-50-649
Ігор,Костенко,ihor.kostenko27@student.org,1963,4,11,PTX-65,9.83,38(099)38-48-371
Денис,Марченко,denys.marchenko21@student.org,2000,12,5,JPN-25,87.91,38(096)21-32-985
